index,zipCode,PovertyEst,avgAnnCount,avgDeathsPerYear,deathRate,incidenceRate,medIncome,popEst2015,povertyPercent,studyCount,studyPerCap,binnedInc
203,1602,90611,4132.0,1539,171.5,470.3,65217,818963,11.5,0,0.0,"(61494.5, 125635]"
204,1603,90611,4132.0,1539,171.5,470.3,65217,818963,11.5,0,0.0,"(61494.5, 125635]"
205,1604,90611,4132.0,1539,171.5,470.3,65217,818963,11.5,0,0.0,"(45201, 48021.6]"
206,1605,90611,4132.0,1539,171.5,470.3,65217,818963,11.5,20,24.42112769,"(54545.6, 61494.5]"
207,1606,90611,4132.0,1539,171.5,470.3,65217,818963,11.5,0,0.0,"(54545.6, 61494.5]"
208,1607,90611,4132.0,1539,171.5,470.3,65217,818963,11.5,0,0.0,"(61494.5, 125635]"
209,1608,90611,4132.0,1539,171.5,470.3,65217,818963,11.5,13,15.873733,"(51046.4, 54545.6]"
210,1609,90611,4132.0,1539,171.5,470.3,65217,818963,11.5,0,0.0,"(61494.5, 125635]"
211,1610,90611,4132.0,1539,171.5,470.3,65217,818963,11.5,1,1.221056385,"(61494.5, 125635]"
212,1611,90611,4132.0,1539,171.5,470.3,65217,818963,11.5,0,0.0,"(51046.4, 54545.6]"
213,1612,90611,4132.0,1539,171.5,470.3,65217,818963,11.5,0,0.0,"(61494.5, 125635]"
214,1701,134684,7861.0,2722,159.6,473.1,84026,1585139,8.9,1,0.630859502,"(61494.5, 125635]"
215,1702,134684,7861.0,2722,159.6,473.1,84026,1585139,8.9,6,3.785157011,"(61494.5, 125635]"
216,1718,134684,7861.0,2722,159.6,473.1,84026,1585139,8.9,0,0.0,"(61494.5, 125635]"
217,1719,134684,7861.0,2722,159.6,473.1,84026,1585139,8.9,0,0.0,"(61494.5, 125635]"
218,1720,134684,7861.0,2722,159.6,473.1,84026,1585139,8.9,0,0.0,"(42724.4, 45201]"
219,1721,134684,7861.0,2722,159.6,473.1,84026,1585139,8.9,0,0.0,"(45201, 48021.6]"
220,1730,134684,7861.0,2722,159.6,473.1,84026,1585139,8.9,0,0.0,"(37413.8, 40362.7]"
221,1731,134684,7861.0,2722,159.6,473.1,84026,1585139,8.9,0,0.0,"(61494.5, 125635]"
222,1740,90611,4132.0,1539,171.5,470.3,65217,818963,11.5,0,0.0,"(61494.5, 125635]"
223,1741,134684,7861.0,2722,159.6,473.1,84026,1585139,8.9,0,0.0,"(48021.6, 51046.4]"
224,1742,134684,7861.0,2722,159.6,473.1,84026,1585139,8.9,3,1.892578506,"(51046.4, 54545.6]"
225,1745,90611,4132.0,1539,171.5,470.3,65217,818963,11.5,0,0.0,"(40362.7, 42724.4]"
226,1746,134684,7861.0,2722,159.6,473.1,84026,1585139,8.9,0,0.0,"(34218.1, 37413.8]"
227,1747,90611,4132.0,1539,171.5,470.3,65217,818963,11.5,0,0.0,"(40362.7, 42724.4]"
228,1748,134684,7861.0,2722,159.6,473.1,84026,1585139,8.9,0,0.0,"(48021.6, 51046.4]"
229,1749,134684,7861.0,2722,159.6,473.1,84026,1585139,8.9,0,0.0,"(61494.5, 125635]"
230,1752,134684,7861.0,2722,159.6,473.1,84026,1585139,8.9,1,0.630859502,"(51046.4, 54545.6]"
231,1754,134684,7861.0,2722,159.6,473.1,84026,1585139,8.9,0,0.0,"(40362.7, 42724.4]"
232,1756,90611,4132.0,1539,171.5,470.3,65217,818963,11.5,0,0.0,"(54545.6, 61494.5]"
233,1757,90611,4132.0,1539,171.5,470.3,65217,818963,11.5,9,10.98950746,"(37413.8, 40362.7]"
234,1760,134684,7861.0,2722,159.6,473.1,84026,1585139,8.9,0,0.0,"(61494.5, 125635]"
235,1770,134684,7861.0,2722,159.6,473.1,84026,1585139,8.9,1,0.630859502,"(42724.4, 45201]"
236,1772,90611,4132.0,1539,171.5,470.3,65217,818963,11.5,0,0.0,"(34218.1, 37413.8]"
237,1773,134684,7861.0,2722,159.6,473.1,84026,1585139,8.9,0,0.0,"(34218.1, 37413.8]"
238,1775,134684,7861.0,2722,159.6,473.1,84026,1585139,8.9,0,0.0,"(61494.5, 125635]"
239,1776,134684,7861.0,2722,159.6,473.1,84026,1585139,8.9,0,0.0,"(61494.5, 125635]"
240,1778,134684,7861.0,2722,159.6,473.1,84026,1585139,8.9,0,0.0,"(48021.6, 51046.4]"
241,1801,134684,7861.0,2722,159.6,473.1,84026,1585139,8.9,0,0.0,"(51046.4, 54545.6]"
242,1803,134684,7861.0,2722,159.6,473.1,84026,1585139,8.9,0,0.0,"(61494.5, 125635]"
243,1810,80526,4431.0,1477,161.5,507.1,70074,776043,10.7,0,0.0,"[22640, 34218.1]"
244,1821,134684,7861.0,2722,159.6,473.1,84026,1585139,8.9,0,0.0,"[22640, 34218.1]"
245,1824,134684,7861.0,2722,159.6,473.1,84026,1585139,8.9,0,0.0,"[22640, 34218.1]"
246,1826,134684,7861.0,2722,159.6,473.1,84026,1585139,8.9,0,0.0,"(48021.6, 51046.4]"
247,1827,134684,7861.0,2722,159.6,473.1,84026,1585139,8.9,0,0.0,"(45201, 48021.6]"
248,1830,80526,4431.0,1477,161.5,507.1,70074,776043,10.7,1,1.28858839,"(54545.6, 61494.5]"
249,1832,80526,4431.0,1477,161.5,507.1,70074,776043,10.7,0,0.0,"(42724.4, 45201]"
250,1833,80526,4431.0,1477,161.5,507.1,70074,776043,10.7,0,0.0,"(61494.5, 125635]"
